,Repositório,Organização,Dockerfile,Linguagens,Data Criação,Data Update,Repo link
0,rsandor/Solace,,"FROM java:7


# Add the repo to the container
ADD . /solace
WORKDIR /solace


# Install ant and ivy
RUN apt-get update
RUN apt-get -y install ant
RUN apt-get -y install wget
RUN wget http://mirrors.gigenet.com/apache//ant/ivy/2.4.0/apache-ivy-2.4.0-bin-with-deps.tar.gz
RUN tar xzf apache-ivy-2.4.0-bin-with-deps.tar.gz
RUN cp apache-ivy-2.4.0/ivy-2.4.0.jar /usr/share/ant/lib


# Build the game server
RUN ant jar


# Run the game server
CMD java -jar build/jar/solace.jar 4000
","Java
91.9%





JavaScript
8.1%",2010-02-09 08:35:53,2017-08-01 16:58:01,https://github.com/rsandor/Solace
1,tokuhirom/64p.org,,"FROM nginx:latest


ENV DEBIAN_FRONTEND noninteractive


RUN apt-get update && apt-get install -y git-core \
    --no-install-recommends \
        && rm -rf /var/lib/apt/lists/*


EXPOSE 8443


RUN git clone https://github.com/tokuhirom/64p.org.git /64p/
ADD nginx.conf /nginx.conf


CMD [""nginx"", ""-c"", ""/nginx.conf""]


","HTML
63.4%





Nginx
26.5%





CSS
10.1%",2011-02-23 16:37:35,2016-04-08 23:58:28,https://github.com/tokuhirom/64p.org
2,andreasbaumann/pgfuse,,"# PgFuse DockerFile


FROM ubuntu:14.04


RUN apt-get update
RUN apt-get -y --force-yes install make pkg-config g++ wget unzip build-essential libpq-dev libfuse-dev


RUN wget https://github.com/andreasbaumann/pgfuse/archive/master.zip
RUN unzip master.zip


WORKDIR pgfuse-master


RUN make
","C
85.6%





Makefile
6.1%





Shell
5.7%





Other
2.6%",2012-04-05 10:33:42,2017-12-01 14:23:26,https://github.com/andreasbaumann/pgfuse
3,palladius/sakura,,"FROM ubuntu:14.04
#FROM ubuntu:12.04
MAINTAINER Riccardo Carlesso ""riccardo.carlesso+sakura@gmail.com""


ENV RICCARDO_APP sakura
ENV RICCARDO_DESCRIPTION ""This is a cool dockerization of my swiss-army git-repo knife. Seems not to work with 14:04""
# Copied from: https://github.com/paulczar/docker-apache2/blob/master/Dockerfile
env APACHE_RUN_USER    www-data
env APACHE_RUN_GROUP   www-data
env APACHE_PID_FILE    /var/run/apache2.pid
env APACHE_RUN_DIR     /var/run/apache2
env APACHE_LOCK_DIR    /var/lock/apache2
env APACHE_LOG_DIR     /var/log/apache2
env LANG               C
env SAKURA_DOCKER_VAR  2.2.1-20150219


RUN apt-get update
RUN DEBIAN_FRONTEND=noninteractive apt-get -y install apache2 libapache2-mod-php5 php5-mysql php5-gd php-pear php-apc php5-curl curl lynx-cur
#RUN apt-get install -y facter
RUN apt-get install -y netcat vim bash-completion
RUN sed -i /etc/apache2/sites-enabled/000-default.conf -e 's/#ServerName www.example.com/ServerName sakura.palladius.eu/'
RUN update-rc.d apache2 enable
#RUN service apache2 start
RUN mkdir -p /usr/local/palladius-sakura/
RUN echo ${SAKURA_DOCKER_VAR} > /root/SAKURA_DOCKER_VERSION


# Testing these two...
#ONBUILD ADD . /var/www/palladius-onbuild-sakura/
#ONBUILD RUN cd /var/www/palladius-onbuild-sakura/ && make
ADD . /var/www/html/
ADD . /usr/local/palladius-sakura/


CMD [""apache2"", ""-D"", ""FOREGROUND""]
#CMD service apache2 start
EXPOSE 80


###########################################################################################
# Inspiration
# https://medium.com/dev-tricks/apache-and-php-on-docker-44faef716150
###########################################################################################
","Shell
40.7%





Python
31.6%





Ruby
24.6%





Makefile
1.5%





Perl
1.2%





C
0.3%





Other
0.1%",2011-11-29 18:13:13,2017-04-11 10:39:32,https://github.com/palladius/sakura
4,vinik/minishop,,"FROM docker.io/vinik/web:latest


MAINTAINER Vinícius Kirst <vinicius@versul.com.br>


RUN a2ensite default


COPY . /var/www/html


EXPOSE 80


CMD apachectl -D FOREGROUND
","PHP
98.2%





Other
1.8%",2012-11-04 02:36:12,2016-03-28 05:19:51,https://github.com/vinik/minishop
5,sayanee/build-podcast,,"FROM    ubuntu:14.04


RUN     apt-get update
RUN     apt-get install -y git curl nano nginx
RUN     curl https://raw.githubusercontent.com/sayanee/dotfiles/master/.bashrc > /.bashrc
RUN     mkdir /apps
ADD     . /apps/html


RUN     mv /etc/nginx/nginx.conf /etc/nginx/nginx.conf.original
RUN     mv /apps/html/nginx.conf /etc/nginx/nginx.conf


WORKDIR /apps/html


EXPOSE  8888
CMD     [""nginx""]
","HTML
67.4%





CSS
26.8%





ApacheConf
2.3%





Perl
2.0%





Ruby
0.7%





Swift
0.3%





Other
0.5%",2012-05-28 03:43:07,2017-11-14 20:53:03,https://github.com/sayanee/build-podcast
6,sayanee/build-podcast,,"FROM      ubuntu:14.04


RUN       apt-get update
RUN       apt-get install -y git curl nano nodejs nodejs-dev npm
RUN       curl https://raw.githubusercontent.com/sayanee/dotfiles/master/.bashrc > /.bashrc
RUN       ln -s /usr/bin/nodejs  /usr/bin/node


RUN       mkdir /apps
ADD       . /apps/nodeapp


WORKDIR   /apps/nodeapp


EXPOSE    8000
CMD       [""node"", ""/apps/nodeapp/app.js""]
","HTML
67.4%





CSS
26.8%





ApacheConf
2.3%





Perl
2.0%





Ruby
0.7%





Swift
0.3%





Other
0.5%",2012-05-28 03:43:07,2017-11-14 20:53:03,https://github.com/sayanee/build-podcast
7,sayanee/build-podcast,,"FROM    ubuntu:14.04


RUN     apt-get update
RUN     apt-get install -y git curl nano build-essential libssl-dev libreadline-dev libffi-dev libgdbm-dev


# install ruby
ADD     http://cache.ruby-lang.org/pub/ruby/2.1/ruby-2.1.2.tar.bz2 /
RUN     tar xvjf ruby-2.1.2.tar.bz2 && cd ruby-2.1.2 && ./configure --disable-install-doc --with-openssl-dir=/usr/bin && make && make install && cd / && rm -rf /ruby-2.1.2
RUN     gem install sass compass jekyll --no-ri --no-rdoc


# install node, npm, bower, grunt
RUN     apt-get install -y software-properties-common python-software-properties git curl nano nginx
RUN     apt-get install -y nodejs nodejs-dev npm
RUN     ln -s /usr/bin/nodejs /usr/bin/node
RUN     npm install -g bower grunt grunt-cli


RUN     mkdir /apps
ADD     . /apps/bp
WORKDIR /apps/bp


EXPOSE  4000


CMD     [""jekyll"", ""serve"", ""--watch"", ""--config"", ""_dev_config.yml""]
","HTML
67.4%





CSS
26.8%





ApacheConf
2.3%





Perl
2.0%





Ruby
0.7%





Swift
0.3%





Other
0.5%",2012-05-28 03:43:07,2017-11-14 20:53:03,https://github.com/sayanee/build-podcast
8,skonakov/2mp4,,"FROM python:2.7.11


RUN apt-get update && apt-get install -y \
    libxml2-dev \
    libxslt1-dev \
    mediainfo


RUN pip install -U pip && pip install 2mp4
","Python
97.1%





Makefile
2.9%",2012-11-29 15:40:28,2016-04-21 23:58:06,https://github.com/skonakov/2mp4
9,emblicaorg/airfield,,"from ubuntu:12.04
maintainer Nick Stinemates


run apt-get -y update
run apt-get install -y wget 
run wget -O - http://nodejs.org/dist/v0.8.23/node-v0.8.23-linux-x64.tar.gz | tar -C /usr/local/ --strip-components=1 -zxv
add . /airfield
run cd /airfield && npm install


expose 3000


cmd [""node"", ""/airfield/airfield.js""]
","JavaScript
99.7%





CSS
0.3%",2013-01-03 02:16:40,2017-08-30 02:33:08,https://github.com/emblicaorg/airfield
